NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
   1 POTEF   640.00 10 2017          ANGRA 1                                                                                                                                                            
   1 GTMIN   628.28 10 2017  3 2018                                                                                                                                                                     
   1 GTMIN   628.28  5 2018 12 2018                                                                                                                                                                     
   1 IPTER     0.00  1 2018  3 2018                                                                                                                                                                     
   1 GTMIN   548.17  1 2019                                                                                                                                                                             
   1 IPTER   100.00  4 2018  4 2018                                                                                                                                                                     
   1 IPTER     0.00  5 2018 12 2018                                                                                                                                                                     
  13 POTEF  1350.00 10 2017          ANGRA 2                                                                                                                                                            
  13 FCMAX    90.37 10 2017  5 2018                                                                                                                                                                     
  13 GTMIN  1202.17 10 2017 12 2017                                                                                                                                                                     
  13 FCMAX    18.07  6 2018  6 2018                                                                                                                                                                     
  13 GTMIN  1111.29  1 2018  5 2018                                                                                                                                                                     
  13 FCMAX    25.78  7 2018  7 2018                                                                                                                                                                     
  13 GTMIN   222.20  6 2018  6 2018                                                                                                                                                                     
  13 FCMAX   100.00  8 2018                                                                                                                                                                             
  13 GTMIN   317.01  7 2018  7 2018                                                                                                                                                                     
  13 GTMIN  1229.71  8 2018                                                                                                                                                                             
  97 POTEF   216.00 10 2017          CUBATAO                                                                                                                                                            
  97 GTMIN    86.40 10 2017                                                                                                                                                                             
  97 IPTER    29.03  1 2018  1 2018                                                                                                                                                                     
  97 IPTER    25.00  2 2018  2 2018                                                                                                                                                                     
  97 IPTER     0.00  3 2018 12 2018                                                                                                                                                                     
  12 POTEF   529.20 10 2017          CUIABA G CC                                                                                                                                                        
  12 FCMAX    92.59 10 2017 11 2017                                                                                                                                                                     
  12 FCMAX     0.00 12 2017                                                                                                                                                                             
 153 POTEF    44.44 10 2017          DAIA                                                                                                                                                               
 153 FCMAX     0.00 10 2017                                                                                                                                                                             
  65 POTEF   254.80 10 2017          DO ATLAN_CSA                                                                                                                                                       
  65 GTMIN   236.10 10 2017  1 2018                                                                                                                                                                     
  65 GTMIN   210.81  2 2018  2 2018                                                                                                                                                                     
  65 GTMIN   236.10  3 2018  3 2018                                                                                                                                                                     
  65 IPTER     0.00  1 2018  1 2018                                                                                                                                                                     
  65 GTMIN     7.85  4 2018  4 2018                                                                                                                                                                     
  65 IPTER    10.71  2 2018  2 2018                                                                                                                                                                     
  65 GTMIN   121.85  5 2018  5 2018                                                                                                                                                                     
  65 IPTER     0.00  3 2018  3 2018                                                                                                                                                                     
