RES   USINAS PERTENCENTES AO CONJUNTO
XXX   XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX
  2   139
  3   288
999
RES MM/AAAA MM/AAAA P       RESTRICAO
XXX XX XXXX XX XXXX X XXXXXXXXXXXXXXX
  2 10 2020 12 2024 0    0.00         CANDONGA       
  3 10 2020 10 2020 0 5500.00         BELO MONTE     
  3 11 2020 11 2020 0 6000.00         BELO MONTE     
  3 12 2020 12 2020 0 8000.00         BELO MONTE     
  3  7 2021  7 2021 0 7000.00         BELO MONTE     
  3  8 2021 10 2021 0 5500.00         BELO MONTE     
  3 11 2021 11 2021 0 6500.00         BELO MONTE     
  3  8 2022 10 2022 0 9500.00         BELO MONTE     
  3 11 2022 11 2022 0 10400.00        BELO MONTE     
  3  8 2023 10 2023 0 9500.00         BELO MONTE     
  3 11 2023 11 2023 0 10400.00        BELO MONTE     
  3  8 2024 10 2024 0 9500.00         BELO MONTE     
  3 11 2024 11 2024 0 10400.00        BELO MONTE     
999
