RES   USINAS PERTENCENTES AO CONJUNTO
XXX   XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX
  2   139
  3   288
999
RES MM/AAAA MM/AAAA P       RESTRICAO
XXX XX XXXX XX XXXX X XXXXXXXXXXXXXXX
  2 10 2017 12 2021 0    0.00         CANDONGA       
  3 10 2017 10 2017 0 5500.00         BELO MONTE     
  3 11 2017 11 2017 0 6000.00         BELO MONTE     
  3 12 2017 12 2017 0 8000.00         BELO MONTE     
  3  7 2018  7 2018 0 7000.00         BELO MONTE     
  3  8 2018 10 2018 0 5500.00         BELO MONTE     
  3 11 2018 11 2018 0 6500.00         BELO MONTE     
  3  8 2019 10 2019 0 9500.00         BELO MONTE     
  3 11 2019 11 2019 0 10400.00        BELO MONTE     
  3  8 2020 10 2020 0 9500.00         BELO MONTE     
  3 11 2020 11 2020 0 10400.00        BELO MONTE     
  3  8 2021 10 2021 0 9500.00         BELO MONTE     
  3 11 2021 11 2021 0 10400.00        BELO MONTE     
999
