********* DUMMY
********* DUMMY
 MESPLAN=            8  ANOPLAN=         2020
    1 CAMARGOS        105.00    250.00    181.00     96.00     66.00     57.00     50.00     33.00     32.00     40.00     53.00     98.00
    2 ITUTINGA        105.00    250.00    181.00     96.00     66.00     57.00     50.00     33.00     32.00     40.00     53.00     98.00
    6 FURNAS          952.00   2349.00   1394.00    708.00    463.00    396.00    301.00    230.00    207.00    218.00    429.00    731.00
    7 M. DE MORAE    1141.00   2598.00   1678.00    841.00    552.00    469.00    358.00    286.00    248.00    263.00    486.00    855.00
    8 ESTREITO       1182.00   2654.00   1747.00    873.00    572.00    487.00    372.00    299.00    257.00    273.00    498.00    883.00
    9 JAGUARA        1197.00   2673.00   1780.00    887.00    581.00    495.00    378.00    305.00    261.00    278.00    502.00    894.00
   10 IGARAPAVA      1243.00   2736.00   1866.00    926.00    605.00    516.00    394.00    320.00    271.00    291.00    515.00    926.00
   11 VOLTA GRAND    1355.00   2895.00   2039.00   1009.00    659.00    561.00    429.00    355.00    297.00    319.00    549.00   1000.00
   12 P. COLOMBIA    1543.00   3184.00   2345.00   1182.00    775.00    652.00    496.00    423.00    349.00    368.00    613.00   1122.00
   14 CACONDE          63.00    132.00     64.00     40.00     28.00     28.00     22.00     25.00     25.00     22.00     34.00     42.00
   15 E. DA CUNHA     101.00    214.00    105.00     66.00     46.00     45.00     35.00     41.00     41.00     36.00     55.00     69.00
   16 A.S.OLIVEIR     103.00    217.00    107.00     67.00     47.00     46.00     36.00     41.00     41.00     37.00     55.00     70.00
   17 MARIMBONDO     2102.00   4020.00   3093.00   1604.00   1063.00    951.00    749.00    668.00    560.00    556.00    893.00   1564.00
   18 A. VERMELHA    2442.00   4412.00   3500.00   1858.00   1243.00   1115.00    882.00    828.00    686.00    685.00   1007.00   1861.00
   20 BOCAINA         185.00    346.00    349.00    203.00    129.00     93.00     72.00     45.00     33.00     26.00     49.00    128.00
   22 BATALHA         113.00    212.00    221.00    172.00    100.00     67.00     48.00     31.00     19.00     14.00     26.00     66.00
   23 CORUMBA III     198.00    294.00    322.00    254.00    148.00     89.00     68.00     39.00     28.00     27.00     47.00    100.00
   24 EMBORCACAO      525.00    982.00    990.00    575.00    366.00    264.00    205.00    129.00     95.00     74.00    139.00    363.00
   25 NOVA PONTE      365.00    683.00    604.00    332.00    239.00    178.00    135.00    103.00     85.00     86.00    105.00    269.00
   28 CAPIM BRANC     370.00    708.00    652.00    350.00    250.00    189.00    143.00    108.00     87.00     92.00    109.00    286.00
   31 ITUMBIARA      1625.00   3059.00   2937.00   1775.00   1170.00    838.00    645.00    413.00    314.00    310.00    460.00   1253.00
